OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,SHAPE_Length,SHAPE_Area
1,SCK,STOCKTON METROPOLITAN AIRPORT,STOCKTON METROPOLITAN,Stockton,San Joaquin,Commercial/Primary,PRIMARY-NON HUB-METROPOLITAN-Business/Corporate,Commercial Service Primar,02314.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=SCK,15098.5899926053,10276226.1507864
2,UDD,BERMUDA DUNES EXECUTIVE AIRPORT,BERMUDA DUNES,Palm Springs,Riverside,Regional,REGIONAL,Not a NPIAS Facility,02017.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=UDD,5370.36847285051,507751.671589519
3,0O2,BAKER AIRPORT,BAKER,Baker,San Bernardino,Limited Use,LIMITED USE,Not a NPIAS Facility,01286.1*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=0O2,5827.27629868211,1458117.84561908
4,0O4,CORNING MUNICIPAL AIRPORT,CORNING MUNI,Corning,Tehama,Community,COMMUNITY,General Aviation,01443.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=0O4,5255.33523641519,620437.791924975
5,TRM,JACQUELINE COCHRAN REGIONAL AIRPORT,JACQUELINE COCHRAN REGIONAL,Thermal,Riverside,Regional,REGIONAL-Business/Corporate,General Aviation,02017.2*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=TRM,15357.1640848049,10829313.7910997
6,1C9,FRAZIER LAKE AIRPARK,FRAZIER LAKE AIRPARK,Hollister,San Benito,Community,COMMUNITY,Not a NPIAS Facility,01668.11*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=1C9,4963.59013971818,984661.657532867
7,TVL,LAKE TAHOE AIRPORT,LAKE TAHOE,South Lake Tahoe,El Dorado,Regional,REGIONAL-Business/Corporate,General Aviation,02303.7*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=TVL,9648.87318056386,2325065.72059699
8,1O2,LAMPSON FIELD AIRPORT,LAMPSON FIELD,Lakeport,Lake,Regional,REGIONAL,General Aviation,01743.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=1O2,4774.12632027506,514331.389870527
9,1O3,LODI AIRPORT,LODI,Lodi,San Joaquin,Limited Use,LIMITED USE-Agriculture,Not a NPIAS Facility,01782.*A,10,http://www.gcr1.com/5010web/airport.cfm?Site=1O3,4925.71451835713,1039408.14702058
10,1O5,"MONTAGUE-YREKA, ROHRER FIELD",MONTAGUE-YREKA,Montague,Siskiyou,Community,COMMUNITY,Not a NPIAS Facility,01905.*A,2,http://www.gcr1.com/5010web/airport.cfm?Site=1O5,5221.17396740875,827089.12547719
