X,Y,OBJECTID,FACILITY,MAPLABEL,AIRPORTID,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,MANAGER,MNGREMAIL,PHONE,F5010URL,LATDD,LONGDD,LATDMS,PMTLAT,LONGDMS,ARPLATDMS,ARPLONGDMS,PMTLONG
-13464580.9927,5039889.4124,1,ADIN AIRPORT,ADIN,A26,Adin,Modoc,Limited Use,LIMITED USE,Not a NPIAS Facility,01217.*A,2,Mitch Crosby,mitchcrosby@co.modoc.ca.us,530-233-6412,http://www.gcr1.com/5010web/airport.cfm?Site=A26,41.1865,-120.954389,41-11-09.607N,41-11-10N,120-57-07.881W,41-11-11.4000N,120-57-15.8000W,120-57-08W
-12945869.235,3889424.5585,2,AGUA CALIENTE SPRINGS AIRPORT,AGUA CALIENTE SPRINGS,L54,Agua Caliente Springs,San Diego,Limited Use,LIMITED USE,Not a NPIAS Facility,01218.*A,11,Cathe Johnson,catherine.johnson@sdcounty.ca.gov,619-956-4805,http://www.gcr1.com/5010web/airport.cfm?Site=L54,32.955694,-116.294722,32-57-00.180N,32-57-20N,116-17-36.047W,32-57-20.5000N,116-17-41.0000W,116-17-41W
-13170725.9235,4096486.0555,3,AGUA DULCE AIRPARK,AGUA DULCE,L70,Agua Dulce,Los Angeles,Limited Use,LIMITED USE,Not a NPIAS Facility,01219.*A,7,Al Hoffman,ahoffman@spearsmfg.net,661-268-0797,http://www.gcr1.com/5010web/airport.cfm?Site=L70,34.502569,-118.314644,34-30-14.972N,34-30-15N,118-18-46.282W,34-30-09.2500N,118-18-52.7200W,118-18-46W
-13332407.6878,4683747.6925,4,ALPINE COUNTY AIRPORT,ALPINE COUNTY,M45,Markleeville,Alpine,Limited Use,LIMITED USE,Not a NPIAS Facility,01866.4*A,10,Brian Peters,bpeters@alpinecountyca.gov,530-694-2231 x330,http://www.gcr1.com/5010web/airport.cfm?Site=M45,38.73475,-119.767056,38-44-05.100N,38-44-05N,119-46-01.400W,38-44-05.1000N,119-46-01.4000W,119-46-01W
-13421277.7108,5083843.0602,5,ALTURAS MUNICIPAL AIRPORT,ALTURAS MUNI,AAT,Alturas,Modoc,Community,COMMUNITY,General Aviation,01234.*A,2,Joe Picotte,jpicotte@cityofalturas.org,530-233-2377,http://www.gcr1.com/5010web/airport.cfm?Site=AAT,41.482972,-120.565389,41-28-58.800N,41-28-59N,120-33-55.300W,41-28-58.7000N,120-33-55.4000W,120-33-55W
-13803134.511,5088161.5723,6,ANDY MCBETH AIRPORT,ANDY MCBETH,S51,Klamath Glen,Del Norte,Community,COMMUNITY,Not a NPIAS Facility,01722.5*A,1,Randy Hooper,airport@co.del-norte.ca.us,707-464-7288,http://www.gcr1.com/5010web/airport.cfm?Site=S51,41.512028,-123.995667,41-30-43.435N,41-30-43N,123-59-44.258W,41-30-43.3000N,123-59-44.4000W,123-59-44W
-13629454.3981,4661691.4851,7,ANGWIN-PARRETT FIELD AIRPORT,PARRETT FIELD,2O3,Angwin,Napa,Community,COMMUNITY,Not a NPIAS Facility,01244.8*A,4,Geoffery Hilton,gfhilton@puc.org,707-965-6219,http://www.gcr1.com/5010web/airport.cfm?Site=2O3,38.580028,-122.435472,38-34-42.664N,38-34-43N,122-26-06.926W,38-34-48.1000N,122-26-07.7000W,122-26-07W
-13045107.444,4106319.3078,8,APPLE VALLEY AIRPORT,APPLE VALLEY,APV,Apple Valley,San Bernardino,Regional,REGIONAL-Business/Corporate,General Aviation,01248.1*A,8,Maureen Snelgrove,Maureen.Snelgrove@airports.sbcounty.gov,909-387-2591,http://www.gcr1.com/5010web/airport.cfm?Site=APV,34.575333,-117.186194,34-34-31.042N,34-34-31N,117-11-10.245W,34-34-31.2000N,117-11-10.3000W,117-11-10W
-13815707.3795,5009113.5772,9,ARCATA AIRPORT,ARCATA -139,ACV,Arcata/Eureka,Humboldt,Commercial/Primary,PRIMARY-NON HUB-REGIONAL-Business/Corporate,Commercial Service Primar,01255.1*A,1,Cody Roggatz,croggatz@co.humboldt.ca.us,707 839-5402,http://www.gcr1.com/5010web/airport.cfm?Site=ACV,40.978111,-124.108611,40-58-41.215N,40-58-41N,124-06-31.028W,40-58-40.2000N,124-06-30.5000W,124-06-31W
-13478755.6374,4715199.9858,10,AUBURN MUNICIPAL AIRPORT,AUBURN MUNI,AUN,Auburn,Placer,Regional,REGIONAL-Business/Corporate,General Aviation,01273.*A,3,Bernie Schroeder,bschroeder@auburn.ca.gov,530-823-4211 x144,http://www.gcr1.com/5010web/airport.cfm?Site=AUN,38.954806,-121.081722,38-57-17.170N,38-57-17N,121-04-55.490W,38-57-17.3000N,121-04-54.2000W,121-04-55W
