In AE?,HDP station,TMY coverage,How many years of coverage,File Name,Building Climate Zone,Station,Airport Code,City,State,Country,User Format,World Meteorological Organization Station #,latitude,longitude,TimeZone (+/-  to GMT),Elevation (m)
Yes 72594524283,,,,CA_ARCATA-AP_725945S_20.epw,CZ 01,CA_ARCATA-AP,KACV,Arcata,CA,USA,Custom-725945,725945,40.98,-124.11,-8,61
No,,,,CA_BLUE-CANYON-AP_725845S_20.epw,CZ 16,CA_BLUE-CANYON-AP,KBLU,Blue Canyon,CA,USA,Custom-725845,725845,39.28,-120.71,-8,1608
Yes  72288023152,,,,CA_BURBANK-GLNDLE-PASAD-AP_722880S_20.epw,CZ 09,CA_BURBANK-GLNDLE-PASAD,KBUR,Burbank,CA,USA,Custom-722880,722880,34.2,-118.36,-8,236
Yes 72389093193,,,,CA_FRESNO-YOSEMITE-IAP_723890S_20.epw,CZ 13,CA_FRESNO-YOSEMITE-IAP,KFAT,Fresno,CA,USA,Custom-723890,723890,36.78,-119.72,-8,101
No,,,,CA_FULLERTON-MUNI-AP_722976S_20.epw,CZ 08,CA_FULLERTON-MUNI-AP,KFUL,Fullerton,CA,USA,Custom-722976,722976,33.87,-117.98,-8,29
Yes 72493023230,,,,CA_OAKLAND-METRO-AP_724930S_20.epw,CZ 03,CA_OAKLAND-METRO-AP,KOAK,Oakland,CA,USA,Custom-724930,724930,37.72,-122.22,-8,1
Yes 72286899999,,,,CA_PALM-SPRINGS-IAP_722868S_20.epw,CZ 15,CA_PALM-SPRINGS-IAP,KPSP,Palm Springs,CA,USA,Custom-722868,722868,33.82,-116.5,-8,124
No,,,,CA_PALMDALE-AP_723820S_20.epw,CZ 14,CA_PALMDALE-AP,KPMD,Palmdalte,CA,USA,Custom-723820,723820,34.63,-118.08,-8,769
Yes 72591024216,,,,CA_RED-BLUFF-MUNI-AP_725910S_20.epw,CZ 11,CA_RED-BLUFF-MUNI-AP,KRBL,Red Bluff,CA,USA,Custom-725910,725910,40.15,-122.25,-8,107
Yes 72286903171,,,,CA_RIVERSIDE-MUNI_722869S_20.epw,CZ 10,CA_RIVERSIDE-MUNI,KRAL,Riverside,CA,USA,Custom-722869,722869,33.95,-117.44,-8,245
Yes 72483023232,,,,CA_SACRAMENTO-EXECUTIVE-AP_724830S_20.epw,CZ 12,CA_SACRAMENTO-EXECUTIVE-,KSAC,Sacaramento,CA,USA,Custom-724830,724830,38.51,-121.5,-8,4
Yes 72290023188,,,,CA_SAN-DIEGO-LINDBERGH-FLD_722900S_20.epw,CZ 07,CA_SAN-DIEGO-LINDBERGH-F,KSAN,San Diego,CA,USA,Custom-722900,722900,32.73,-117.18,-8,4
No,,,,CA_SAN-JOSE-REID-HILLV_724946S_20.epw,CZ 04,CA_SAN-JOSE-REID-HILLV,KRHV,San Jose,CA,USA,Custom-724946,724946,37.33,-121.82,-8,40
No,,,,CA_SANTA-MARIA-PUBLIC-AP_723940S_20.epw,CZ 05,CA_SANTA-MARIA-PUBLIC-AP,KSMX,Santa Maria,CA,USA,Custom-723940,723940,34.9,-120.45,-8,73
No,,,,CA_SANTA-ROSA-AP_724957S_20.epw,CZ 02,CA_SANTA-ROSA(AWOS),KSTS,Santa Rosa,CA,USA,Custom-724957,724957,38.5,-122.81,-8,34
No,,,,CA_TORRANCE-MUNI-AP_722955S_20.epw,CZ 06,CA_TORRANCE-MUNI-AP,KTOA,Torrance,CA,USA,Custom-722955,722955,33.8,-118.34,-8,29
